"requisito","prioridad","objetivo_producto","documento_contrato","documento_ux","documento_pruebas","fase_roadmap","verificacion_prevista","cobertura","notas"
"REQ-PROJ-001","P0","Herramienta profesional","PM-05 Formato nativo; escritura atómica; PM-03 Documento y sesión","PM-06 Básico; prevención de errores","PM-12 Integración; archivos dorados; integridad de documentos","Fase 1","Round-trip semántico; IDs estables; prueba manual crear-guardar-cerrar-reabrir","Excepción justificada","Criterio fuerte en PM-02; falta fixture y gate cuantificado"
"REQ-PROJ-002","P1","Herramienta profesional","PM-05 Agregados principales; identidad; formato nativo","PM-06 Disposición base; flujo de tileset","PM-12 Integración; automatización de interacción","Fase 1","Proyecto con dos mapas, varios tilesets y recurso compartido; navegación y dependencias visibles","Excepción justificada","Roadmap F1 menciona proyecto/tileset pero no explicita varios recursos"
"REQ-PROJ-003","P0","Herramienta profesional","PM-05 Diffs y control de versiones; PM-03 Manejo de errores","PM-06 Prevención de errores (sin flujo específico)","PM-12 Sesiones exploratorias; matriz pérdida de datos","Fase 2","Modificar archivo externamente con cambios locales; comprobar recarga/conservación y cero sobrescritura silenciosa","Excepción justificada","REQ existe; falta contrato y diseño UX completo de conflicto"
"REQ-PROJ-004","P0","Herramienta profesional","PM-05 Migraciones; formato nativo","PM-06 Sin tratamiento explícito","PM-12 Unitarias; archivos dorados; puertas de release","Fase 1 (formato v0); continuo","Corpus multiversión; migración registrada; round-trip y rollback","Excepción justificada","PM-14 F1 incluye formato v0; historial debe mantenerse desde primera migración"
"REQ-PROJ-005","P0","Herramienta profesional","PM-05 Autosave y recuperación; escritura atómica","PM-06 Prevención de errores (sin flujo de recuperación)","PM-12 Integridad de documentos; fault injection","Spike Fase 0; entrega Fase 2","Matar proceso; restaurar sesión separada sin sustituir último guardado confirmado","Excepción justificada","Contrato técnico sólido; falta flujo UX y política medible"
"REQ-MAP-001","P1","Edición universal 2D","PM-04 Cuadrícula ortogonal; coordenadas negativas y chunks; PM-05 Chunks","PM-06 Básico; herramientas esenciales","PM-12 Unitarias; property-based; escenas por topología","Fase 1 finito; Fase 2 infinito","Crear mapa finito e infinito; operar en chunks positivos/negativos; escena manual","Excepción justificada","Requisito mezcla entregas de dos fases"
"REQ-MAP-002","P2","Edición universal 2D","PM-04 Isométrico de diamante; isométrico escalonado y oblicuo","PM-06 Selección; formas; modos","PM-12 Property-based; regresión visual; escenas por topología","Fase 4","Inversas celda-mundo; selección, pintura, orden visual y exportación en fixtures","Aprobado","Falta corpus y tolerancias numéricas aprobadas"
"REQ-MAP-003","P2","Edición universal 2D","PM-04 Hexagonal; contrato de topología","PM-06 Formas topológicas; overlays","PM-12 Unitarias; property-based; escenas por topología","Fase 4","Seis vecinos recíprocos pointy/flat; selección, pintura y exportación manual","Aprobado","Hex valida contrato topológico; falta fixture canónico"
"REQ-MAP-004","P1","Edición universal 2D","PM-04 Cuadrícula ortogonal y perfiles; PM-08 Perfil lateral","PM-06 Básico; formas laterales","PM-12 Automatización de interacción; escenas por perfil","Fase 1","Crear nivel cenital y lateral sobre mismo almacenamiento; ayudas/validadores cambian sin migración","Excepción justificada","Criterio F1 menciona ambos perfiles pero no define diferencias mínimas"
"REQ-MAP-005","P0","Edición universal 2D; intención separada del arte","PM-05 Capas; modelo de mapa; PM-03 Dominio","PM-06 Modelo mental; disposición; flujo semántico","PM-12 Unitarias; integración; round-trip","Fases 1-3","Crear cada tipo de capa; serializar propiedades comunes/especializadas; inspección manual","Excepción justificada","Entrega incremental: tile F1, objetos F2, semántica/colisión/navegación F2-F3"
"REQ-MAP-006","P1","Edición universal 2D","PM-05 Capas; PM-04 capas con distinto espacio; PM-10 pipeline/overlays","PM-06 Disposición base; capas","PM-12 Regresión visual; automatización de interacción","Fases 1-2","Alternar visibilidad/bloqueo/opacidad/offset/paralaje/orden; comparar viewport y exportación","Excepción justificada","Roadmap no enumera todos los atributos ni su fase exacta"
"REQ-MAP-007","P1","Edición universal 2D","PM-05 Identidad; tilesets; referencias","PM-06 Flujo de tileset; selección/pegado","PM-12 Integración; archivos dorados","Fase 1","Reordenar múltiples tilesets; round-trip; verificar IDs y celdas sin cambios","Excepción justificada","F1 habla de tileset singular; plural debe confirmarse"
"REQ-EDIT-001","P1","Edición universal 2D","PM-03 Comandos y transacciones; PM-04 Formas y regiones","PM-06 Pincel; borrador; relleno; formas","PM-12 Integración; automatización de interacción; oracle undo","Fase 1 (formas pueden extenderse)","Cada gesto produce una transacción; pintar/borrar/fill/formas y undo exacto","Excepción justificada","F1 enumera pincel, borrador y fill; formas no aparecen explícitas"
"REQ-EDIT-002","P1","Edición universal 2D","PM-03 Comandos y transacciones; PM-04 Selección y picking","PM-06 Selección","PM-12 Integración; automatización; oracle de estado","Fase 1 o Fase 2 (abierto)","Transformar región multicapa y comprobar capas, IDs y referencias tras undo/redo","Excepción justificada","Historia 7 sugiere F1; epic/criterio F1 no lo incluye"
"REQ-EDIT-003","P1","Edición universal 2D","PM-05 Objetos; PM-04 capas/espacio mundo","PM-06 Objetos","PM-12 Unitarias; integración; automatización UI","Fase 2","Crear y editar punto, texto, polígono y polilínea; snapping y valores numéricos","Excepción justificada","Roadmap menciona object layers y shapes; falta criterio manual detallado"
"REQ-EDIT-004","P0","Herramienta profesional; edición universal 2D","PM-03 Comandos y transacciones","PM-06 Modelo mental; flujo procedural","PM-12 Integración; integridad de documentos; oracle de estado","Fase 1","Secuencias aleatorias y manuales; hash estructural idéntico después de undo/redo","Aprobado","Falta límite de historial y UX al cerrar sesión"
"REQ-EDIT-005","P1","Herramienta profesional","PM-03 Presentación y servicios","PM-06 Accesibilidad; atajos y comandos","PM-12 Automatización de interacción; evidencia de accesibilidad","Fase 1 transversal","Inventario de comandos; ejecutar flujos esenciales solo con teclado; detectar conflictos","Excepción justificada","No existe lista aprobada de comandos/flujos esenciales"
"REQ-EDIT-006","P1","Edición universal 2D; intención separada del arte","PM-10 Overlays; PM-04 capas y topologías","PM-06 Flujo semántico; validación integrada; accesibilidad","PM-12 Regresión visual; comparación semántica","Fases 1-4; depuradores F3-F6","Combinar overlays; captura dorada; verificar hash documental inmutable","Excepción justificada","Roadmap no asigna cada overlay a fase"
"REQ-ASSET-001","P1","Edición universal 2D","PM-05 Tilesets; PM-10 Atlas y bleeding","PM-06 Flujo de tileset","PM-12 Archivos dorados; automatización de interacción","Fase 1","Importar sprite sheets con combinaciones tamaño/margen/separación; imagen dorada sin bleeding","Aprobado","Falta corpus y tolerancia visual"
"REQ-ASSET-002","P2","Edición universal 2D","PM-05 Tilesets","PM-06 Flujo de tileset","PM-12 Integración; archivos dorados","Fase 2 o backlog sin asignar","Importar colección; comprobar definición e ID estable por imagen tras reabrir","Excepción justificada","Roadmap solo nombra sprite sheet en F1"
"REQ-ASSET-003","P1","Edición universal 2D","PM-05 Tilesets; propiedades tipadas","PM-06 Flujo de tileset","PM-12 Unitarias; round-trip; exportaciones doradas","Fase 2","Editar propiedades/tags/animación/colisión; guardar, cargar y exportar","Aprobado","Tags también alimentan F3; validar evolución entre fases"
"REQ-ASSET-004","P0","Herramienta profesional","PM-05 Tilesets; validación de carga; recursos y paths","PM-06 Selección/pegado; prevención (sin flujo completo)","PM-12 Sesiones exploratorias; fuzzing; archivos defectuosos","Fase 2","Eliminar/mover asset; localizar; relocalizar; confirmar IDs lógicos y referencias intactos","Excepción justificada","Falta diseño UX de búsqueda, comparación y cancelación"
"REQ-ASSET-005","P2","Herramienta profesional","PM-03 Estado autoritativo y derivados; PM-10 Caché por chunk","PM-06 Disposición/proyecto (sin gestión explícita de caché)","PM-12 Integración; prueba de reconstrucción","Fase 2","Borrar cachés/miniaturas; reconstruirlas; hash del proyecto sin artefactos derivados","Excepción justificada","No aparece explícito en roadmap"
"REQ-RULE-001","P1","Intención separada del arte","PM-07 Bitmasks; PM-04 contrato de topología","PM-06 Reglas; flujo semántico","PM-12 Unitarias; property-based; escenas doradas","Fase 3 ortogonal; Fase 4 hex","Casos canónicos 4/8/6 vecinos con outputs esperados por topología","Aprobado","Entrega separada por topología"
"REQ-RULE-002","P1","Intención separada del arte","PM-07 Wang y conectores","PM-06 Flujo de tileset; modo Reglas","PM-12 Unitarias; archivos dorados","Fase 3","Corpus Wang edges/corners; editar vecino y verificar transición incremental","Aprobado","Falta corpus concreto"
"REQ-RULE-003","P1","Intención separada del arte","PM-07 Regla de patrón; transformaciones","PM-06 Modo Reglas","PM-12 Unitarias; property-based","Fase 3","Patrones variados con ancla en borde y coordenadas negativas; positivos/negativos","Aprobado","Tamaño máximo y coste quedan abiertos"
"REQ-RULE-004","P1","Intención separada del arte","PM-07 Condiciones","PM-06 Modo Reglas; inspector semántico","PM-12 Unitarias; property-based","Fase 3","Pruebas positivas y negativas por EXACT, ANY, EMPTY, NOT, TAG, ONE_OF y SAME_AS","Aprobado","Matriz de casos aún no materializada"
"REQ-RULE-005","P1","Intención separada del arte","PM-07 Fases; resolución de coincidencias; aleatoriedad estable","PM-06 Modo Reglas; inspector","PM-12 Property-based; archivos dorados","Fase 3","Conflictos controlados; misma semilla produce ganador idéntico; inspector explica descartes","Aprobado","Política descrita; falta fixture adversarial"
"REQ-RULE-006","P1","Intención separada del arte","PM-07 Actualización incremental; índices; PM-10 Rendimiento de reglas","PM-06 Preview de pincel; flujo semántico","PM-12 Benchmark; comparación incremental/completo","Spike Fase 0; entrega Fase 3","Medir coste por radio y región; resultado igual a recálculo completo","Aprobado","Presupuesto numérico debe fijarse en F0"
"REQ-RULE-007","P1","Intención separada del arte; procedural editable","PM-05 Reglas y procedencia; PM-07 contenido generado","PM-06 Inspector semántico","PM-12 Archivos dorados; integración","Fase 3","Inspeccionar regla, ancla, revisión y semilla; round-trip de procedencia","Aprobado","Falta decisión de granularidad/tamaño de procedencia"
"REQ-PCG-001","P2","Intención separada del arte","PM-08 Contrato de generador; request y contexto","PM-06 Flujo procedural","PM-12 Unitarias; integración; contrato","Fase 5","Generadores distintos declaran descriptor, entradas, salidas, parámetros y validadores","Aprobado","API propuesta no congelada"
"REQ-PCG-002","P2","Intención separada del arte","PM-08 Generadores base","PM-06 Flujo procedural; onboarding","PM-12 Property-based; archivos dorados; batch","Fase 5","Preset y seed reproducible por BSP, random walk, cellular, laberinto, ruido, Voronoi y grafos","Aprobado","Roadmap dice noise/grafos pero omite Voronoi explícito"
"REQ-PCG-003","P2","Procedural editable","PM-08 Semillas y streams; composición","PM-06 Flujo procedural","PM-12 Property-based; reproducción multiejecución","Fase 5","Misma versión/semilla reproduce; cambiar stream decoración preserva estructura cuando aplique","Aprobado","Determinismo limitado por plataforma según PM-02"
"REQ-PCG-004","P2","Procedural editable","PM-08 Preview y variantes; PM-03 jobs/snapshots","PM-06 Flujo procedural","PM-12 Integración; automatización UI; oracle de estado","Fase 5","Preview/aceptar/cancelar/regenerar; cancelación conserva hash documental","Aprobado","Debe incluir cancelación durante job y antes de aplicar"
"REQ-PCG-005","P2","Procedural editable","PM-08 Máscaras y restricciones espaciales","PM-06 Flujo procedural","PM-12 Property-based; escenas adversariales","Fase 5","Regeneración localizada sobre fixture bloqueado; cero celdas protegidas modificadas","Aprobado","Principio rector y criterio coinciden"
"REQ-PCG-006","P2","Procedural editable","PM-08 Validadores; reparación","PM-06 Validación integrada; flujo procedural","PM-12 Unitarias; integración; sesiones exploratorias","Fase 5","Fixtures inválidos por conectividad/densidad/conteo; diagnóstico localizable y reparación reversible","Aprobado","‘Accesibilidad’ espacial debe distinguirse de accesibilidad UX"
"REQ-WFC-001","P2","Intención separada del arte","PM-09 Simple Tiled; propagación; condiciones de borde","PM-06 Flujo WFC","PM-12 Property-based; validación exhaustiva de adyacencias","Fase 6","Catálogos canónicos; cero adyacencias prohibidas; validación por topología","Aprobado","Falta catálogo versionado"
"REQ-WFC-002","P2","Intención separada del arte","PM-09 Overlapping Model; extracción Overlapping","PM-06 Flujo WFC","PM-12 Unitarias; property-based; corpus WFC","Fase 6","Extraer patrones/frecuencias/solapamientos de muestras conocidas y comparar oracle","Aprobado","Tamaño N, simetrías y bordes requieren fixtures"
"REQ-WFC-003","P2","Intención separada del arte","PM-09 Entropía; observación","PM-06 Flujo WFC","PM-12 Property-based; repetición por seed","Fase 6","Misma versión/seed produce decisiones y salida idénticas; registrar desempates","Aprobado","Aplican reglas transversales de determinismo"
"REQ-WFC-004","P3","Herramienta profesional","PM-09 Estructuras de datos; propagación; rendimiento; PM-10 Rendimiento WFC","PM-06 Progreso WFC","PM-12 Benchmark y escenas de referencia","Fase 6","Benchmark catálogo pequeño/denso y grande/esparso contra presupuesto fijado","Excepción justificada","Presupuesto aún no definido; optimización no debe preceder corrección"
